Block (1, 1): dy = 2, dx = 1
Block (17, 1): dy = 2, dx = 5
Block (33, 1): dy = 7, dx = 7
Block (49, 1): dy = 7, dx = 0
Block (65, 1): dy = 3, dx = -8
Block (81, 1): dy = 8, dx = 8
Block (97, 1): dy = 8, dx = 8
Block (113, 1): dy = 7, dx = 3
Block (129, 1): dy = 2, dx = -2
Block (145, 1): dy = 0, dx = -8
Block (161, 1): dy = 0, dx = -8
Block (177, 1): dy = 0, dx = 8
Block (193, 1): dy = 0, dx = 8
Block (209, 1): dy = 2, dx = 4
Block (225, 1): dy = 5, dx = -8
Block (241, 1): dy = 0, dx = 8
Block (257, 1): dy = 8, dx = 8
Block (273, 1): dy = 8, dx = -8
Block (289, 1): dy = 5, dx = 8
Block (305, 1): dy = 6, dx = -7
Block (321, 1): dy = 2, dx = -2
Block (337, 1): dy = 0, dx = 0
Block (1, 17): dy = 6, dx = 8
Block (17, 17): dy = 4, dx = -5
Block (33, 17): dy = 1, dx = -8
Block (49, 17): dy = 8, dx = 8
Block (65, 17): dy = 8, dx = 8
Block (81, 17): dy = 8, dx = -6
Block (97, 17): dy = -1, dx = 0
Block (113, 17): dy = -7, dx = 0
Block (129, 17): dy = -8, dx = -8
Block (145, 17): dy = -8, dx = -8
Block (161, 17): dy = -8, dx = -8
Block (177, 17): dy = -8, dx = 8
Block (193, 17): dy = -8, dx = 8
Block (209, 17): dy = -8, dx = 8
Block (225, 17): dy = 4, dx = 8
Block (241, 17): dy = 4, dx = -8
Block (257, 17): dy = -7, dx = 8
Block (273, 17): dy = -3, dx = -4
Block (289, 17): dy = 8, dx = -8
Block (305, 17): dy = 4, dx = 5
Block (321, 17): dy = 7, dx = -8
Block (337, 17): dy = 5, dx = 0
Block (1, 33): dy = -6, dx = 2
Block (17, 33): dy = -8, dx = -6
Block (33, 33): dy = 8, dx = 8
Block (49, 33): dy = 1, dx = 8
Block (65, 33): dy = 0, dx = -5
Block (81, 33): dy = -5, dx = -8
Block (97, 33): dy = -8, dx = -8
Block (113, 33): dy = -8, dx = -8
Block (129, 33): dy = -8, dx = -8
Block (145, 33): dy = -8, dx = -8
Block (161, 33): dy = -7, dx = -8
Block (177, 33): dy = 6, dx = 8
Block (193, 33): dy = -8, dx = 8
Block (209, 33): dy = -8, dx = 8
Block (225, 33): dy = -8, dx = 8
Block (241, 33): dy = 4, dx = 8
Block (257, 33): dy = 6, dx = -6
Block (273, 33): dy = -6, dx = 8
Block (289, 33): dy = -4, dx = -5
Block (305, 33): dy = 8, dx = -8
Block (321, 33): dy = -8, dx = -8
Block (337, 33): dy = -8, dx = 0
Block (1, 49): dy = 8, dx = 2
Block (17, 49): dy = -1, dx = 8
Block (33, 49): dy = -4, dx = 0
Block (49, 49): dy = -8, dx = -8
Block (65, 49): dy = -8, dx = -8
Block (81, 49): dy = 8, dx = 8
Block (97, 49): dy = 8, dx = -2
Block (113, 49): dy = 8, dx = -8
Block (129, 49): dy = -8, dx = -8
Block (145, 49): dy = 6, dx = 0
Block (161, 49): dy = 5, dx = -8
Block (177, 49): dy = -8, dx = 8
Block (193, 49): dy = 0, dx = 8
Block (209, 49): dy = -8, dx = 8
Block (225, 49): dy = -8, dx = 8
Block (241, 49): dy = -8, dx = 8
Block (257, 49): dy = -1, dx = 5
Block (273, 49): dy = 3, dx = -8
Block (289, 49): dy = -4, dx = 8
Block (305, 49): dy = -3, dx = -6
Block (321, 49): dy = 8, dx = -8
Block (337, 49): dy = 3, dx = 0
Block (1, 65): dy = -7, dx = 2
Block (17, 65): dy = -8, dx = -8
Block (33, 65): dy = -8, dx = -8
Block (49, 65): dy = 8, dx = 8
Block (65, 65): dy = 6, dx = 8
Block (81, 65): dy = 0, dx = 8
Block (97, 65): dy = 0, dx = -6
Block (113, 65): dy = -3, dx = -8
Block (129, 65): dy = 1, dx = -8
Block (145, 65): dy = 8, dx = 8
Block (161, 65): dy = 8, dx = 0
Block (177, 65): dy = 8, dx = 8
