Block (1, 1): dy = 0, dx = 0
Block (9, 1): dy = 0, dx = 0
Block (17, 1): dy = 0, dx = 0
Block (25, 1): dy = 0, dx = 0
Block (33, 1): dy = 0, dx = 0
Block (41, 1): dy = 0, dx = 0
Block (49, 1): dy = 0, dx = 0
Block (57, 1): dy = 0, dx = 0
Block (65, 1): dy = 0, dx = 0
Block (73, 1): dy = 0, dx = 0
Block (81, 1): dy = 0, dx = 0
Block (89, 1): dy = 0, dx = 0
Block (97, 1): dy = 0, dx = 0
Block (105, 1): dy = 0, dx = 0
Block (113, 1): dy = 0, dx = 0
Block (121, 1): dy = 0, dx = 0
Block (129, 1): dy = 0, dx = 0
Block (137, 1): dy = 0, dx = 0
Block (145, 1): dy = 0, dx = 0
Block (153, 1): dy = 0, dx = 0
Block (161, 1): dy = 0, dx = 0
Block (169, 1): dy = 0, dx = 0
Block (177, 1): dy = 0, dx = 0
Block (185, 1): dy = 0, dx = 0
Block (193, 1): dy = 0, dx = 0
Block (201, 1): dy = 0, dx = 0
Block (209, 1): dy = 0, dx = 0
Block (217, 1): dy = 0, dx = 0
Block (225, 1): dy = 0, dx = 0
Block (233, 1): dy = 0, dx = 0
Block (241, 1): dy = 0, dx = 0
Block (249, 1): dy = 0, dx = 0
Block (257, 1): dy = 0, dx = 0
Block (265, 1): dy = 0, dx = 0
Block (273, 1): dy = 0, dx = 0
Block (281, 1): dy = 0, dx = 0
Block (289, 1): dy = 0, dx = 0
Block (297, 1): dy = 0, dx = 0
Block (305, 1): dy = 0, dx = 0
Block (313, 1): dy = 0, dx = 0
Block (321, 1): dy = 0, dx = 0
Block (329, 1): dy = 0, dx = 0
Block (337, 1): dy = 0, dx = 0
Block (345, 1): dy = 0, dx = 0
Block (1, 9): dy = 0, dx = 0
Block (9, 9): dy = 0, dx = 0
Block (17, 9): dy = 0, dx = 0
Block (25, 9): dy = 0, dx = 0
Block (33, 9): dy = 0, dx = 0
Block (41, 9): dy = 0, dx = 0
Block (49, 9): dy = 0, dx = 0
Block (57, 9): dy = 0, dx = 0
Block (65, 9): dy = 0, dx = 0
Block (73, 9): dy = 0, dx = 0
Block (81, 9): dy = 0, dx = 0
Block (89, 9): dy = 0, dx = 0
Block (97, 9): dy = 0, dx = 0
Block (105, 9): dy = 0, dx = 0
Block (113, 9): dy = 0, dx = 0
Block (121, 9): dy = 0, dx = 0
